twoCardA:level:onesDigitIsZero    onesDigit:0 twoCardB:level:other    onesDigit:7 result:lose
thrCardA:level:other    onesDigit:7 twoCardB:level:other    onesDigit:7 result:draw
twoCardA:level:onesDigitIsZero    onesDigit:0 threeCardB:level:other    onesDigit:6 result:lose
thrCardA:level:other    onesDigit:7 threeCardB:level:other    onesDigit:6 result:win
twoCardA:level:tianGongNine    onesDigit:0 twoCardB:level:other    onesDigit:6 result:win
thrCardA:level:other    onesDigit:9 twoCardB:level:other    onesDigit:6 result:win
twoCardA:level:tianGongNine    onesDigit:0 threeCardB:level:other    onesDigit:9 result:win
thrCardA:level:other    onesDigit:9 threeCardB:level:other    onesDigit:9 result:draw
twoCardA:level:other    onesDigit:1 twoCardB:level:other    onesDigit:4 result:lose
thrCardA:level:onesDigitIsZero    onesDigit:0 twoCardB:level:other    onesDigit:4 result:lose
twoCardA:level:other    onesDigit:1 threeCardB:level:other    onesDigit:4 result:lose
thrCardA:level:onesDigitIsZero    onesDigit:0 threeCardB:level:other    onesDigit:4 result:lose
twoCardA:level:tianGongEight    onesDigit:0 twoCardB:level:other    onesDigit:2 result:win
thrCardA:level:onesDigitIsZero    onesDigit:0 twoCardB:level:other    onesDigit:2 result:lose
twoCardA:level:tianGongEight    onesDigit:0 threeCardB:level:other    onesDigit:9 result:win
thrCardA:level:onesDigitIsZero    onesDigit:0 threeCardB:level:other    onesDigit:9 result:lose
twoCardA:level:other    onesDigit:5 twoCardB:level:other    onesDigit:7 result:lose
thrCardA:level:other    onesDigit:5 twoCardB:level:other    onesDigit:7 result:lose
twoCardA:level:other    onesDigit:5 threeCardB:level:other    onesDigit:9 result:lose
thrCardA:level:other    onesDigit:5 threeCardB:level:other    onesDigit:9 result:lose
twoCardA:level:other    onesDigit:2 twoCardB:level:other    onesDigit:1 result:win
thrCardA:level:other    onesDigit:6 twoCardB:level:other    onesDigit:1 result:win
twoCardA:level:other    onesDigit:2 threeCardB:level:other    onesDigit:1 result:win
thrCardA:level:other    onesDigit:6 threeCardB:level:other    onesDigit:1 result:win
twoCardA:level:onesDigitIsZero    onesDigit:0 twoCardB:level:other    onesDigit:1 result:lose
thrCardA:level:other    onesDigit:3 twoCardB:level:other    onesDigit:1 result:win
twoCardA:level:onesDigitIsZero    onesDigit:0 threeCardB:level:other    onesDigit:1 result:lose
thrCardA:level:other    onesDigit:3 threeCardB:level:other    onesDigit:1 result:win
twoCardA:level:tianGongNine    onesDigit:0 twoCardB:level:other    onesDigit:4 result:win
thrCardA:level:other    onesDigit:6 twoCardB:level:other    onesDigit:4 result:win
twoCardA:level:tianGongNine    onesDigit:0 threeCardB:level:other    onesDigit:2 result:win
thrCardA:level:other    onesDigit:6 threeCardB:level:other    onesDigit:2 result:win
twoCardA:level:other    onesDigit:1 twoCardB:level:other    onesDigit:4 result:lose
thrCardA:level:other    onesDigit:6 twoCardB:level:other    onesDigit:4 result:win
twoCardA:level:other    onesDigit:1 threeCardB:level:other    onesDigit:4 result:lose
thrCardA:level:other    onesDigit:6 threeCardB:level:other    onesDigit:4 result:win
twoCardA:level:onesDigitIsZero    onesDigit:0 twoCardB:level:tianGongEight    onesDigit:0 result:lose
thrCardA:level:onesDigitIsZero    onesDigit:0 twoCardB:level:tianGongEight    onesDigit:0 result:lose
twoCardA:level:onesDigitIsZero    onesDigit:0 threeCardB:level:other    onesDigit:9 result:lose
thrCardA:level:onesDigitIsZero    onesDigit:0 threeCardB:level:other    onesDigit:9 result:lose
